task_id,dataset,trial,auc_cv,num_emb_type,tabm_k,n_epochs
11,balance-scale,39,0.985587906504065,pbld,64,200
11,balance-scale,40,0.9880312862950058,lt,56,150
11,balance-scale,41,0.9880312862950058,pbld,56,150
11,balance-scale,42,0.9880312862950058,pbld,56,150
11,balance-scale,43,0.985587906504065,pbld,64,150
11,balance-scale,44,0.9825153648857917,pbld,48,100
11,balance-scale,45,0.985587906504065,plr,64,200
11,balance-scale,46,0.9880312862950058,pbld,56,150
11,balance-scale,47,0.9825153648857917,pbld,48,150
11,balance-scale,48,0.987229408633372,lt,40,100
11,balance-scale,49,0.9825153648857917,pbld,48,150
31,credit-g,0,0.773226433430515,pbld,16,100
31,credit-g,1,0.7685131195335277,pbld,8,300
31,credit-g,2,0.7707482993197278,none,24,200
31,credit-g,3,0.7707482993197278,plr,24,150
31,credit-g,4,0.7686588921282798,pbld,40,100
31,credit-g,5,0.764139941690962,lt,64,300
31,credit-g,6,0.7685131195335277,plr,8,200
31,credit-g,7,0.7707482993197278,pbld,24,200
31,credit-g,8,0.764139941690962,plr,64,300
31,credit-g,9,0.7685131195335277,pbld,8,150
31,credit-g,10,0.7686588921282798,lt,40,100
31,credit-g,11,0.7707482993197278,none,24,250
31,credit-g,12,0.7698250728862973,none,32,150
31,credit-g,13,0.773226433430515,none,16,250
31,credit-g,14,0.773226433430515,none,16,250
31,credit-g,15,0.7754130223517979,pbld,48,250
31,credit-g,16,0.7754130223517979,pbld,48,100
31,credit-g,17,0.7754130223517979,pbld,48,250
31,credit-g,18,0.779251700680272,pbld,56,150
31,credit-g,19,0.779251700680272,pbld,56,150
31,credit-g,20,0.779251700680272,lt,56,150
31,credit-g,21,0.779251700680272,lt,56,150
31,credit-g,22,0.779251700680272,lt,56,150
31,credit-g,23,0.779251700680272,lt,56,150
31,credit-g,24,0.764139941690962,lt,64,200
31,credit-g,25,0.779251700680272,pbld,56,150
31,credit-g,26,0.7754130223517979,pbld,48,200
31,credit-g,27,0.7686588921282798,lt,40,100
31,credit-g,28,0.764139941690962,plr,64,150
31,credit-g,29,0.779251700680272,pbld,56,100
31,credit-g,30,0.7754130223517979,pbld,48,200
31,credit-g,31,0.779251700680272,lt,56,150
31,credit-g,32,0.779251700680272,lt,56,150
31,credit-g,33,0.764139941690962,lt,64,150
31,credit-g,34,0.779251700680272,lt,56,100
31,credit-g,35,0.7754130223517979,lt,48,200
31,credit-g,36,0.7698250728862973,pbld,32,150
31,credit-g,37,0.764139941690962,plr,64,100
31,credit-g,38,0.7686588921282798,pbld,40,150
31,credit-g,39,0.779251700680272,lt,56,200
31,credit-g,40,0.764139941690962,pbld,64,150
31,credit-g,41,0.779251700680272,lt,56,150
31,credit-g,42,0.779251700680272,lt,56,150
31,credit-g,43,0.7754130223517979,lt,48,150
31,credit-g,44,0.764139941690962,lt,64,100
31,credit-g,45,0.779251700680272,plr,56,200
31,credit-g,46,0.7754130223517979,lt,48,150
31,credit-g,47,0.764139941690962,lt,64,150
31,credit-g,48,0.7686588921282798,none,40,100
31,credit-g,49,0.779251700680272,pbld,56,150
9952,phoneme,0,0.9471678020559675,pbld,16,100
9952,phoneme,1,0.9466660107550583,pbld,8,300
9952,phoneme,2,0.9393894345884265,none,24,200
